ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
305,Texas,32,18,14,.563,16.17,10.30,9,9,12,5,4,6,2681,2458,1290,837,1864,.449,223,620,.360,561,761,.737,295,969,381,215,120,302,682
306,Texas A&M,32,21,11,.656,16.76,8.60,11,7,14,4,6,5,2807,2546,1310,878,1987,.442,261,824,.317,529,707,.748,393,1214,494,212,127,434,601
307,Texas A&M-Corpus Christi,33,18,15,.545,-2.48,-1.62,13,9,10,5,7,9,2393,2234,1325,744,1739,.428,187,619,.302,559,792,.706,303,1055,360,240,129,450,602
308,Texas Christian,33,22,11,.667,15.75,9.51,11,7,14,5,5,5,2584,2378,1335,856,1920,.446,247,732,.337,419,583,.719,323,1105,522,205,125,457,628
309,Texas Southern,30,12,18,.400,-14.05,-7.98,10,8,9,5,3,12,2251,2339,1221,774,1756,.441,250,748,.334,541,766,.706,325,1071,417,238,95,373,550
310,Texas State,32,19,13,.594,-7.26,-6.69,11,7,16,1,3,9,2365,2271,1295,780,1757,.444,230,664,.346,481,684,.703,299,988,342,252,136,418,522
311,Texas Tech,32,22,10,.688,21.95,14.17,12,6,14,2,5,5,2573,2324,1285,845,1924,.439,212,674,.315,422,608,.694,350,1090,351,193,74,321,517
312,Texas-Rio Grande Valley,33,19,14,.576,0.93,-2.20,14,8,10,5,8,8,2505,2293,1335,786,1899,.414,222,733,.303,499,720,.693,379,1127,454,212,103,366,521
313,The Citadel,33,11,22,.333,-16.51,-5.91,7,11,7,8,3,12,2322,2558,1345,921,1891,.487,300,824,.364,416,610,.682,329,1184,475,200,102,332,496
314,Toledo,34,19,15,.559,0.78,-1.57,11,7,11,4,5,9,2755,2603,1360,979,2087,.469,282,831,.339,363,534,.680,391,1188,500,210,116,425,558
315,Towson,34,19,15,.559,-0.82,-1.44,9,9,11,3,3,10,2354,2248,1365,808,1947,.415,250,812,.308,382,549,.696,342,1140,376,168,96,339,501
