ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf
126,Iowa&nbsp;NCAA,33,21,12,.636,19.00,9.76,10,10,14,3,3,8,2482,2177,1325,873,1777,.491,264,739,.357,472,613,.770,291,971,506,235,66,320,582
127,Iowa State&nbsp;NCAA,34,27,7,.794,27.15,10.50,12,6,16,1,5,5,2781,2215,1360,1003,2048,.490,307,794,.387,468,696,.672,403,1211,586,305,92,349,543
128,IU Indy,32,7,25,.219,-12.45,-4.15,3,17,5,9,2,15,2673,2825,1285,1013,2204,.460,308,946,.326,339,466,.727,360,1037,648,284,102,384,706
129,Jackson State,33,12,21,.364,-19.48,-5.96,10,8,7,3,4,15,2318,2764,1330,753,1936,.389,263,838,.314,549,724,.758,375,1122,345,208,98,459,638
130,Jacksonville,32,12,20,.375,-10.72,-5.05,7,11,8,4,3,14,2339,2349,1290,835,1836,.455,227,695,.327,442,616,.718,355,1085,386,212,94,359,620
131,Jacksonville State,32,15,17,.469,-3.46,-2.80,10,10,10,7,5,8,2325,2188,1290,779,1776,.439,249,695,.358,518,756,.685,350,1176,386,198,98,366,549
132,James Madison,33,18,15,.545,-4.96,-5.24,9,9,11,4,5,10,2460,2437,1330,854,1876,.455,277,796,.348,475,673,.706,350,1212,413,172,139,385,619
133,Kansas&nbsp;NCAA,33,23,10,.697,21.10,14.86,12,6,14,2,5,6,2496,2290,1330,883,1948,.453,243,695,.350,487,635,.767,334,1282,471,181,189,352,474
134,Kansas City,31,4,27,.129,-19.67,-1.92,1,15,3,11,1,15,2149,2600,1245,774,1877,.412,208,692,.301,393,581,.676,327,1034,368,195,98,407,505
135,Kansas State,32,12,20,.375,8.58,10.86,3,15,10,8,1,10,2546,2619,1280,929,2026,.459,302,829,.364,386,544,.710,333,1088,536,225,113,412,614
136,Kennesaw State&nbsp;NCAA,34,21,13,.618,0.13,-2.00,10,10,13,3,4,8,2834,2586,1370,940,2106,.446,320,915,.350,634,918,.691,473,1371,485,241,180,404,680
137,Kent State,33,24,9,.727,-0.10,-2.45,14,4,14,3,7,5,2808,2628,1345,918,2033,.452,325,909,.358,647,872,.742,432,1308,529,227,113,435,651
138,Kentucky&nbsp;NCAA,34,21,13,.618,19.80,12.86,10,8,14,4,4,6,2746,2510,1360,955,2057,.464,275,806,.341,561,771,.728,406,1275,544,243,150,357,627
139,La Salle,32,9,23,.281,-4.10,4.00,5,13,7,6,1,13,2148,2370,1280,745,1818,.410,171,573,.298,485,670,.724,392,1122,415,218,84,388,523
140,Lafayette,32,11,21,.344,-12.84,-6.58,8,10,6,10,5,11,2222,2381,1285,787,1839,.428,236,735,.321,412,597,.690,297,1059,436,178,75,332,522
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
141,Lamar,31,12,19,.387,-5.73,-3.66,7,15,7,8,5,10,2167,2143,1245,797,1856,.429,211,641,.329,362,516,.702,408,1155,449,201,136,372,535
142,Le Moyne,32,15,17,.469,-10.89,-9.31,10,8,9,4,5,12,2336,2341,1280,805,1751,.460,241,709,.340,485,675,.719,266,1118,455,186,106,421,556
143,Lehigh&nbsp;NCAA,34,18,16,.529,-9.32,-7.04,11,7,13,4,4,11,2490,2515,1405,886,1909,.464,267,743,.359,451,617,.731,261,1083,487,228,113,412,543
144,Liberty,32,25,7,.781,2.47,-1.57,17,3,14,2,10,2,2501,2253,1290,892,1736,.514,340,854,.398,377,535,.705,181,931,551,202,110,283,451
145,Lindenwood,33,18,15,.545,-9.11,-8.44,11,9,9,5,7,9,2566,2398,1320,928,2047,.453,194,629,.308,516,759,.680,421,1295,479,293,149,446,563
146,Lipscomb,32,19,13,.594,-4.18,-4.78,12,6,13,1,6,11,2549,2423,1285,911,1973,.462,344,950,.362,383,508,.754,301,1107,576,224,90,361,511
147,Little Rock,32,12,20,.375,-12.97,-7.71,9,11,7,6,5,13,2257,2372,1280,844,1893,.446,208,585,.356,361,535,.675,363,1083,448,252,143,409,502
148,Long Beach State,32,10,22,.313,-5.51,0.26,6,14,7,9,3,13,2396,2489,1295,878,1922,.457,218,658,.331,422,581,.726,301,1063,418,223,95,409,647
149,Long Island University&nbsp;NCAA,34,24,10,.706,-4.96,-7.93,15,3,14,1,10,9,2519,2418,1365,933,1941,.481,203,562,.361,450,674,.668,386,1190,464,266,183,442,599
150,Longwood,32,16,16,.500,-8.22,-7.88,8,8,11,4,4,10,2486,2370,1315,861,1874,.459,198,628,.315,566,765,.740,390,1190,405,279,75,445,625
151,Louisiana,33,11,22,.333,-12.03,-5.03,7,11,7,8,3,13,2101,2332,1320,740,1836,.403,250,743,.336,371,527,.704,324,1001,340,191,116,355,627
152,Louisiana State,32,15,17,.469,12.69,9.75,3,15,9,8,3,7,2606,2512,1315,897,1904,.471,217,656,.331,595,779,.764,359,1180,471,191,125,352,598
153,Louisiana Tech,34,20,14,.588,-2.92,-2.98,11,9,14,3,4,10,2375,2210,1375,872,1977,.441,198,662,.299,433,649,.667,449,1309,430,251,161,415,555
154,Louisiana-Monroe,32,4,28,.125,-18.52,-4.86,1,17,3,11,1,15,2318,2685,1290,768,1859,.413,246,772,.319,536,733,.731,299,1037,390,196,109,388,463
155,Louisville&nbsp;NCAA,33,23,10,.697,23.41,10.83,11,7,15,2,4,7,2797,2382,1320,948,2016,.470,380,1065,.357,519,675,.769,374,1269,564,227,110,384,608
156,Loyola (IL),33,9,24,.273,-6.13,2.84,4,14,6,10,1,9,2204,2500,1325,757,1792,.422,271,855,.317,419,623,.673,340,1126,460,134,125,431,557
157,Loyola (MD),32,12,20,.375,-13.33,-8.49,8,10,8,6,3,13,2407,2466,1300,844,1945,.434,305,914,.334,414,590,.702,341,1126,423,198,114,350,537
158,Loyola Marymount,32,15,17,.469,1.08,1.50,6,12,10,8,4,7,2376,2306,1295,853,1861,.458,260,744,.349,410,582,.704,291,1088,421,196,131,383,569
159,Maine,32,8,24,.250,-16.91,-9.59,6,10,4,8,4,14,2001,2190,1280,712,1600,.445,191,599,.319,386,602,.641,201,897,393,250,102,397,531
160,Manhattan,32,12,20,.375,-15.10,-7.90,8,12,7,7,3,12,2369,2526,1295,810,1902,.426,230,709,.324,519,653,.795,341,1061,411,251,75,341,473
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
161,Marist,31,19,12,.613,-3.63,-8.60,12,8,11,4,7,7,2160,1979,1245,798,1808,.441,206,628,.328,358,457,.783,311,1112,473,218,96,347,521
162,Marquette,32,12,20,.375,9.22,9.84,7,13,10,7,2,10,2405,2425,1295,856,1954,.438,261,824,.317,432,640,.675,355,1095,497,299,98,364,545
163,Marshall,32,19,13,.594,-2.83,-4.41,11,7,13,4,6,8,2596,2497,1280,927,1975,.469,322,876,.368,420,574,.732,363,1178,532,198,155,373,646
164,Maryland,33,12,21,.364,4.80,11.68,4,16,7,8,2,10,2300,2527,1325,764,1878,.407,279,880,.317,493,683,.722,402,1168,345,157,97,410,595
165,Maryland-Baltimore County&nbsp;NCAA,32,24,8,.750,-4.40,-11.86,14,2,15,2,9,6,2439,2144,1290,861,1827,.471,259,717,.361,458,601,.762,263,1135,389,161,82,307,424
166,Maryland-Eastern Shore,32,9,23,.281,-17.48,-8.35,5,9,6,4,2,18,2060,2265,1305,765,1722,.444,172,574,.300,358,499,.717,335,1040,431,183,84,505,578
167,Massachusetts,33,17,16,.515,-2.14,-3.23,7,11,11,5,2,8,2648,2562,1350,951,2027,.469,248,716,.346,498,741,.672,401,1237,562,220,72,429,685
168,Massachusetts-Lowell,33,15,18,.455,-14.12,-8.42,9,7,10,4,5,14,2471,2518,1320,901,1956,.461,195,605,.322,474,711,.667,406,1236,412,173,101,403,485
169,McNeese&nbsp;NCAA,33,28,5,.848,7.74,-2.06,19,3,14,0,9,5,2641,2193,1335,928,1985,.468,220,689,.319,565,756,.747,418,1162,467,348,143,317,618
170,Memphis,32,13,19,.406,3.95,5.42,8,10,10,6,3,10,2407,2454,1290,853,1966,.434,209,662,.316,492,682,.721,419,1179,425,270,138,435,648
171,Mercer,32,19,13,.594,-2.87,-5.21,11,7,14,1,5,11,2646,2416,1280,915,1978,.463,280,803,.349,536,741,.723,393,1204,440,252,110,333,494
172,Mercyhurst,34,17,17,.500,-9.86,-9.46,10,8,12,3,5,14,2358,2291,1381,898,1984,.453,204,624,.327,358,494,.725,308,1110,498,246,129,322,620
173,Merrimack,34,23,11,.676,-4.27,-6.33,17,3,11,0,9,8,2330,2260,1375,755,1816,.416,274,837,.327,546,693,.788,276,975,423,279,175,325,555
174,Miami (FL)&nbsp;NCAA,33,25,8,.758,18.04,7.28,13,5,15,3,8,2,2704,2349,1320,989,1974,.501,217,625,.347,507,740,.685,404,1231,531,260,112,370,510
175,Miami (OH)&nbsp;NCAA,32,31,1,.969,5.37,-5.49,18,0,16,0,14,0,2902,2409,1300,1001,1909,.524,334,853,.392,566,756,.749,265,1135,516,238,107,335,515
176,Michigan&nbsp;NCAA,34,31,3,.912,32.48,14.86,19,1,14,1,11,0,2952,2353,1366,1034,2046,.505,308,855,.360,576,771,.747,374,1359,628,194,200,407,531
177,Michigan State&nbsp;NCAA,32,25,7,.781,23.44,12.91,15,5,15,2,6,4,2526,2189,1290,882,1874,.471,245,682,.359,517,678,.763,407,1275,591,164,131,368,521
178,Middle Tennessee,32,17,15,.531,0.23,1.36,11,9,11,4,5,8,2414,2329,1310,845,1901,.445,297,873,.340,427,608,.702,356,1159,456,197,136,368,546
179,Milwaukee,32,12,20,.375,-7.52,-2.26,8,12,8,6,3,14,2440,2548,1280,880,1982,.444,240,744,.323,440,638,.690,402,1153,426,216,94,333,601
180,Minnesota,32,15,17,.469,10.45,8.95,8,12,13,4,2,9,2241,2193,1295,772,1678,.460,275,791,.348,422,603,.700,273,993,556,207,85,339,470
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
181,Mississippi,35,15,20,.429,11.13,11.36,4,14,7,9,3,7,2656,2664,1425,942,2114,.446,249,751,.332,523,698,.749,351,1201,473,248,151,341,675
182,Mississippi State,32,13,19,.406,7.27,11.46,5,13,8,8,4,6,2484,2618,1295,907,2016,.450,262,809,.324,408,618,.660,363,1223,409,185,140,372,516
183,Mississippi Valley State,33,3,30,.091,-28.36,-7.89,2,16,2,9,1,18,2120,2739,1331,754,1835,.411,170,566,.300,442,619,.714,303,1007,403,239,85,507,705
