ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf
33,Bucknell,33,10,23,.303,-14.38,-5.44,6,12,6,8,4,12,2223,2518,1336,778,1855,.419,243,793,.306,424,552,.768,303,1037,420,238,59,424,586
34,Buffalo,32,17,15,.531,-3.52,-3.99,7,11,7,8,8,6,2497,2438,1290,838,1773,.473,308,805,.383,513,699,.734,289,1013,465,242,87,348,516
35,Butler,32,16,16,.500,10.47,8.63,7,13,10,7,3,8,2540,2481,1300,869,1923,.452,220,672,.327,582,809,.719,396,1209,497,208,102,362,490
36,Cal Poly,33,14,19,.424,-4.17,-0.20,10,10,8,6,6,11,2710,2805,1325,892,2062,.433,358,1080,.331,568,722,.787,373,1261,451,217,73,501,638
37,Cal State Bakersfield,32,8,24,.250,-12.69,-1.26,2,18,6,11,2,13,2339,2629,1280,795,1891,.420,158,545,.290,591,804,.735,366,1114,355,244,157,434,642
38,Cal State Fullerton,34,18,16,.529,-1.75,0.12,12,8,10,4,6,10,2822,2778,1360,962,2133,.451,315,918,.343,583,813,.717,327,1202,548,277,97,391,641
39,Cal State Northridge,34,20,14,.588,-1.96,-1.27,12,8,12,3,7,8,2767,2713,1365,1012,2228,.454,243,753,.323,500,750,.667,443,1407,574,234,98,447,616
40,California,32,21,11,.656,11.67,7.61,9,9,16,4,4,6,2492,2344,1290,829,1871,.443,287,796,.361,547,702,.779,293,1112,438,188,100,330,602
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
41,California Baptist&nbsp;NCAA,33,25,8,.758,2.52,-2.93,13,5,15,0,7,7,2410,2230,1335,845,1957,.432,212,629,.337,508,707,.719,458,1318,341,181,95,408,617
