ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
120,Illinois State,32,20,12,.625,6.30,0.85,12,8,13,2,5,7,2404,2190,1285,790,1810,.436,209,636,.329,401,587,.683,283,1032,402,191,89,353,555
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
121,Illinois-Chicago,34,19,15,.559,3.81,0.46,12,8,9,5,7,8,2567,2379,1380,811,1914,.424,289,879,.329,468,633,.739,363,1106,536,219,138,464,620
122,Incarnate Word,31,12,19,.387,-7.09,-2.51,7,15,9,6,2,12,2302,2285,1240,797,1698,.469,206,601,.343,485,677,.716,303,1009,407,185,101,330,513
123,Indiana,32,18,14,.563,16.70,10.70,9,11,14,4,3,8,2501,2309,1295,786,1833,.429,223,674,.331,514,678,.758,320,1036,385,177,90,325,551
124,Indiana State,32,11,21,.344,-2.70,0.70,4,16,8,7,3,12,2354,2383,1305,889,1990,.447,218,690,.316,387,561,.690,358,1149,387,258,130,343,489
125,Iona,32,18,14,.563,-7.27,-7.99,10,10,11,3,6,8,2363,2340,1305,840,1968,.427,245,801,.306,415,566,.733,373,1197,475,238,114,371,512
126,Iowa&nbsp;NCAA,33,21,12,.636,19.00,9.76,10,10,14,3,3,8,2482,2177,1325,749,1625,.461,214,635,.337,465,636,.731,265,941,382,168,86,441,577
127,Iowa State&nbsp;NCAA,34,27,7,.794,27.15,10.50,12,6,16,1,5,5,2781,2215,1360,794,1862,.426,256,797,.321,371,519,.715,316,1054,433,227,120,519,570
128,IU Indy,32,7,25,.219,-12.45,-4.15,3,17,5,9,2,15,2673,2825,1285,960,1887,.509,257,666,.386,648,876,.740,359,1223,506,244,98,497,468
