Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
34,Buffalo,32,17,15,.531,-3.52,-3.99,7,11,7,8,8,6,2497,2438,67.4,112.2,.313,.417,.577,51.3,58.8,9.8,8.1,.548,15.5,30.5,.229
35,Butler,32,16,16,.500,10.47,8.63,7,13,10,7,3,8,2540,2481,70.0,109.1,.249,.375,.544,47.6,53.7,9.5,11.9,.519,13.1,30.0,.179
36,Cal Poly,33,14,19,.424,-4.17,-0.20,10,10,8,6,6,11,2710,2805,76.3,111.0,.330,.416,.563,49.7,52.5,9.5,11.4,.532,14.2,30.1,.239
37,Cal State Bakersfield,32,8,24,.250,-12.69,-1.26,2,18,6,11,2,13,2339,2629,73.0,112.6,.426,.384,.571,52.4,53.4,10.3,8.6,.533,15.7,35.0,.307
38,Cal State Fullerton,34,18,16,.529,-1.75,0.12,12,8,10,4,6,10,2822,2778,76.3,107.1,.346,.459,.571,52.0,58.7,8.0,7.9,.535,17.4,28.0,.260
39,Cal State Northridge,34,20,14,.588,-1.96,-1.27,12,8,12,3,7,8,2767,2713,75.6,105.2,.342,.486,.547,46.6,58.5,10.4,9.8,.507,14.9,26.3,.258
40,California,32,21,11,.656,11.67,7.61,9,9,16,4,4,6,2492,2344,69.4,104.7,.370,.415,.527,51.3,55.9,7.5,11.1,.498,14.2,30.1,.244
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
41,California Baptist,33,25,8,.758,2.52,-2.93,13,5,15,0,7,7,2410,2230,67.4,99.1,.371,.317,.508,44.9,46.0,10.0,9.6,.464,15.0,27.2,.267
42,Campbell,34,16,18,.471,-2.85,-0.10,8,10,10,4,3,13,2691,2639,70.8,109.7,.356,.296,.565,48.1,49.0,9.8,9.9,.529,15.1,30.6,.262
43,Canisius,31,10,21,.323,-16.98,-7.85,5,15,7,8,3,13,1951,2184,64.5,108.8,.351,.440,.552,50.5,56.1,10.3,9.9,.517,14.3,29.5,.253
44,Central Arkansas,34,22,12,.647,-1.34,-4.66,15,3,14,1,6,10,2749,2541,69.7,105.2,.285,.526,.566,49.1,61.7,9.2,10.4,.539,17.3,26.2,.208
45,Central Connecticut State,30,18,12,.600,-11.33,-9.94,12,6,10,4,8,8,2215,2127,66.0,107.0,.255,.400,.529,49.0,54.5,9.5,6.1,.496,12.3,28.8,.195
46,Central Michigan,31,10,21,.323,-8.48,-2.48,6,12,8,5,1,15,2275,2384,69.3,111.0,.382,.392,.560,51.9,58.4,11.4,8.4,.530,15.1,33.9,.262
47,Charleston Southern,32,15,17,.469,-6.70,-6.66,6,10,10,4,5,11,2670,2563,74.1,105.7,.414,.314,.508,48.4,38.6,10.8,9.7,.461,10.8,29.3,.294
48,Charlotte,34,17,17,.500,-0.20,1.08,9,9,11,6,4,8,2492,2530,64.5,113.3,.356,.406,.546,48.5,50.8,10.2,9.5,.512,11.7,32.3,.253
49,Chattanooga,32,13,19,.406,-10.89,-6.96,7,11,7,8,6,9,2454,2408,68.1,110.5,.407,.438,.538,51.8,52.1,8.3,7.8,.498,11.9,30.3,.287
50,Chicago State,32,7,25,.219,-16.28,-4.93,5,13,5,6,2,19,2105,2434,65.9,114.9,.372,.516,.599,53.8,72.2,8.4,8.5,.566,17.4,34.2,.278
51,Cincinnati,33,18,15,.545,15.50,9.95,9,9,15,3,2,8,2413,2230,69.2,97.3,.300,.399,.508,48.4,54.5,8.3,6.8,.473,16.0,27.3,.213
52,Clemson,34,24,10,.706,16.99,9.57,12,6,13,3,6,5,2521,2269,65.5,101.2,.331,.429,.530,48.6,46.4,8.4,10.3,.489,15.5,25.7,.247
53,Cleveland State,33,11,22,.333,-13.07,-3.04,6,14,7,8,3,13,2633,2836,71.5,120.2,.352,.440,.591,52.6,58.1,9.5,13.3,.557,13.3,35.1,.266
54,Coastal Carolina,32,19,13,.594,-7.52,-5.78,11,7,8,5,10,7,2346,2323,68.9,103.0,.340,.366,.499,48.9,37.7,8.0,7.4,.459,10.6,26.8,.241
55,Colgate,33,18,15,.545,-5.99,-5.38,11,7,9,5,6,10,2522,2462,66.9,109.0,.328,.410,.544,50.0,54.1,8.5,6.1,.511,13.3,29.0,.235
56,College of Charleston,32,21,11,.656,-1.17,-2.59,14,4,11,4,8,4,2413,2348,68.5,106.2,.258,.434,.515,50.0,52.7,9.1,8.5,.488,12.7,32.2,.180
57,Colorado,32,17,15,.531,10.89,10.36,7,11,13,5,2,8,2559,2542,70.1,112.5,.363,.358,.565,50.3,51.0,8.3,8.8,.529,13.4,29.8,.267
